,nb_de_pieces,superficie,carrez,prix,code_postal,id_local,id_type
0,4,67,False,269000,77360,169.0,0.0
1,4,91,False,420000,91120,355.0,5.0
2,4,72,False,225000,78700,215.0,0.0
3,3,58,False,210000,94190,485.0,0.0
4,3,56,False,599000,75015,14.0,0.0
5,9,185,False,399000,91150,321.0,5.0
6,2,52,False,439000,92380,393.0,0.0
7,2,42,False,449900,75015,14.0,0.0
8,3,35,False,324000,92400,391.0,0.0
9,3,80,False,840000,75010,9.0,0.0
10,2,46,False,268000,94130,469.0,0.0
11,7,175,False,830000,95170,507.0,5.0
12,5,138,False,728000,78500,272.0,5.0
13,2,36,False,418000,75018,17.0,0.0
14,7,115,False,338000,91720,341.0,5.0
15,3,56,False,395000,92130,396.0,0.0
16,2,50,False,265000,94320,481.0,0.0
17,6,202,False,895000,93110,438.0,5.0
18,4,85,False,393000,78400,209.0,0.0
19,2,53,False,415000,92100,383.0,0.0
20,3,57,False,268000,92700,390.0,0.0
21,5,130,False,444900,95660,502.0,5.0
22,2,40,False,350000,92100,383.0,0.0
23,2,37,False,117000,91460,342.0,0.0
24,2,56,False,560000,75017,16.0,0.0
25,1,10,False,95000,75020,19.0,0.0
26,1,16,False,238000,75016,15.0,0.0
27,2,51,False,505900,75013,12.0,0.0
28,1,21,False,69500,94550,456.0,0.0
29,3,43,False,131900,77240,158.0,0.0
30,4,106,False,123500,77260,78.0,5.0
31,3,56,False,231200,77120,58.0,0.0
32,2,27,False,265000,75011,10.0,0.0
33,4,74,False,253200,77120,58.0,5.0
34,3,63,False,250200,77120,58.0,0.0
35,2,24,False,335000,75018,17.0,0.0
36,6,143,False,580000,77600,36.0,5.0
37,1,28,False,225000,92250,394.0,0.0
38,4,92,False,359000,78120,266.0,5.0
39,1,22,False,244500,75015,14.0,0.0
40,9,192,False,410000,77130,114.0,5.0
41,6,202,False,1240000,91570,296.0,5.0
42,7,168,False,760000,91120,355.0,5.0
43,5,103,False,477000,95370,534.0,5.0
44,3,51,False,515000,75019,18.0,0.0
45,5,118,False,670000,94340,464.0,5.0
46,3,71,False,276000,91240,363.0,0.0
47,2,44,False,188000,77120,58.0,0.0
48,1,11,False,141900,75014,13.0,0.0
49,3,64,False,282000,91160,294.0,0.0
50,4,66,False,680000,75019,18.0,0.0
51,2,38,False,174000,77120,58.0,0.0
52,2,63,False,839000,75018,17.0,0.0
53,3,59,False,238200,77120,58.0,0.0
54,2,26,False,112000,78200,244.0,3.0
55,2,49,False,695000,75018,17.0,0.0
56,2,51,False,243000,93110,438.0,0.0
57,2,25,False,244000,93100,430.0,0.0
58,5,152,False,650000,93100,430.0,5.0
59,6,125,False,619000,94490,472.0,5.0
60,5,93,False,450000,92160,380.0,0.0
61,1,33,False,260000,92140,388.0,0.0
62,14,172,False,790000,93200,439.0,5.0
63,8,160,False,530000,78113,214.0,5.0
64,8,210,False,237000,77160,137.0,5.0
65,4,75,False,249999,95100,490.0,0.0
66,4,87,False,465000,77400,97.0,5.0
67,3,69,False,440000,92160,380.0,0.0
68,2,53,False,499000,75020,19.0,0.0
69,4,66,False,265000,78160,246.0,0.0
70,2,30,False,282000,75019,18.0,0.0
71,1,23,False,331600,75005,4.0,0.0
72,5,105,False,459000,91330,379.0,5.0
73,5,90,False,304000,93000,418.0,5.0
74,4,75,False,152000,91800,301.0,0.0
75,7,145,False,599900,78700,215.0,5.0
76,5,97,False,226900,77176,121.0,0.0
77,2,95,False,290000,77450,92.0,5.0
78,2,29,False,119000,91160,339.0,0.0
79,5,137,False,344900,77176,156.0,5.0
80,3,62,False,240000,95370,534.0,0.0
81,4,69,False,194000,95150,559.0,0.0
82,10,265,False,1299000,94430,455.0,5.0
83,2,45,False,218000,94600,457.0,0.0
84,2,44,False,192000,91220,303.0,0.0
85,4,76,False,348000,95440,510.0,5.0
86,1,31,False,385000,75016,15.0,0.0
87,1,26,False,145000,77400,97.0,0.0
88,5,114,False,387000,93220,426.0,5.0
89,7,240,False,1237113,95160,535.0,5.0
90,4,88,False,549000,78400,209.0,5.0
91,5,118,False,1350000,75010,9.0,0.0
92,3,60,False,410000,78420,204.0,0.0
93,2,46,False,190000,95300,544.0,0.0
94,2,38,False,220000,93450,427.0,0.0
95,1,19,False,184900,92600,381.0,0.0
96,3,58,False,169000,91510,334.0,0.0
97,2,62,False,239500,92160,380.0,0.0
98,3,85,False,330500,95160,535.0,0.0
99,4,77,False,77000,77160,51.0,5.0
100,1,20,False,225500,75011,10.0,0.0
101,5,110,False,440000,91800,305.0,5.0
102,3,61,False,500000,75018,17.0,0.0
103,2,54,False,539000,75002,1.0,0.0
104,2,44,False,585000,75008,7.0,0.0
105,4,140,False,490000,91160,365.0,5.0
106,3,60,False,459000,93400,440.0,0.0
107,1,19,False,189000,75020,19.0,0.0
108,4,82,False,217500,91670,290.0,5.0
109,4,115,False,599000,94120,459.0,5.0
110,4,88,False,210000,77230,66.0,5.0
111,4,89,False,330000,77500,50.0,5.0
112,6,150,False,370000,77124,183.0,5.0
113,3,70,False,349000,93330,432.0,0.0
114,8,271,False,795000,78610,271.0,5.0
115,3,68,False,209000,77190,65.0,0.0
116,5,139,False,1250000,75019,18.0,0.0
117,5,183,False,450000,77115,28.0,5.0
118,2,56,False,550000,75012,11.0,0.0
119,3,57,False,179000,95130,517.0,0.0
120,4,80,False,545000,94230,452.0,5.0
121,2,42,False,157000,95130,517.0,0.0
122,5,87,False,389000,95330,508.0,5.0
123,1,9,False,139000,75005,4.0,0.0
124,5,112,False,399000,77178,152.0,5.0
125,4,82,False,182000,91100,313.0,0.0
126,8,162,False,378000,77176,121.0,5.0
127,9,232,False,466000,77370,122.0,5.0
128,3,81,False,299000,93700,424.0,5.0
129,1,29,False,186500,93400,440.0,0.0
130,4,112,False,479000,78540,281.0,5.0
131,7,170,False,549000,78320,282.0,5.0
132,3,72,False,379000,94700,467.0,0.0
133,6,271,False,1500000,77000,141.0,5.0
134,2,41,False,349000,94300,487.0,0.0
135,4,88,False,378700,94440,468.0,5.0
136,5,93,False,439990,93160,433.0,5.0
137,3,59,False,202000,93600,415.0,0.0
138,2,67,False,727000,75016,15.0,0.0
139,4,120,False,980000,92140,388.0,0.0
140,4,82,False,310000,94500,453.0,0.0
141,4,81,False,256600,77127,99.0,0.0
142,7,224,False,749000,94260,460.0,5.0
143,2,46,False,380000,75019,18.0,0.0
144,2,89,False,249000,95350,547.0,0.0
145,4,95,False,208500,77440,107.0,5.0
146,4,115,False,295000,91590,329.0,5.0
